,Unnamed: 0,Unnamed: 0.1,max_leaf_nodes,max_depth,test_score,train_score,train_minus_test
321,123,7510,25,15,0.9063109911293455,0.906764697162479,0.00045370603313343866
320,122,7509,25,14,0.9063109911293455,0.906764697162479,0.00045370603313343866
330,132,5798,25,13,0.9063109911293455,0.906764697162479,0.00045370603313343866
337,125,7512,25,17,0.9063109911293455,0.906764697162479,0.00045370603313343866
336,126,7513,25,18,0.9063109911293455,0.906764697162479,0.00045370603313343866
335,127,7514,25,19,0.9063109911293455,0.906764697162479,0.00045370603313343866
334,128,7389,25,15,0.9063109911293455,0.906764697162479,0.00045370603313343866
333,129,7387,25,13,0.9063109911293455,0.906764697162479,0.00045370603313343866
332,130,5905,25,13,0.9063109911293455,0.906764697162479,0.00045370603313343866
331,131,7264,25,10,0.9063109911293455,0.906764697162479,0.00045370603313343866
329,133,5899,25,7,0.9063109911293455,0.906764697162479,0.00045370603313343866
300,142,5902,25,10,0.9063109911293455,0.906764697162479,0.00045370603313343866
328,134,5900,25,8,0.9063109911293455,0.906764697162479,0.00045370603313343866
327,135,5901,25,9,0.9063109911293455,0.906764697162479,0.00045370603313343866
326,136,7266,25,12,0.9063109911293455,0.906764697162479,0.00045370603313343866
325,137,7267,25,13,0.9063109911293455,0.906764697162479,0.00045370603313343866
324,138,7268,25,14,0.9063109911293455,0.906764697162479,0.00045370603313343866
323,139,7269,25,15,0.9063109911293455,0.906764697162479,0.00045370603313343866
322,124,7511,25,16,0.9063109911293455,0.906764697162479,0.00045370603313343866
301,141,7271,25,17,0.9063109911293455,0.906764697162479,0.00045370603313343866
297,164,7751,25,11,0.9063109911293455,0.906764697162479,0.00045370603313343866
299,143,7272,25,18,0.9063109911293455,0.906764697162479,0.00045370603313343866
270,151,7384,25,10,0.9063109911293455,0.906764697162479,0.00045370603313343866
277,145,5797,25,12,0.9063109911293455,0.906764697162479,0.00045370603313343866
276,146,5796,25,11,0.9063109911293455,0.906764697162479,0.00045370603313343866
275,147,5795,25,10,0.9063109911293455,0.906764697162479,0.00045370603313343866
274,148,7381,25,7,0.9063109911293455,0.906764697162479,0.00045370603313343866
273,149,7382,25,8,0.9063109911293455,0.906764697162479,0.00045370603313343866
272,150,7383,25,9,0.9063109911293455,0.906764697162479,0.00045370603313343866
271,160,7747,25,7,0.9063109911293455,0.906764697162479,0.00045370603313343866
269,153,7386,25,12,0.9063109911293455,0.906764697162479,0.00045370603313343866
298,163,7750,25,10,0.9063109911293455,0.906764697162479,0.00045370603313343866
268,154,5904,25,12,0.9063109911293455,0.906764697162479,0.00045370603313343866
267,155,7273,25,19,0.9063109911293455,0.906764697162479,0.00045370603313343866
266,156,7627,25,10,0.9063109911293455,0.906764697162479,0.00045370603313343866
265,157,5690,25,11,0.9063109911293455,0.906764697162479,0.00045370603313343866
264,259,6124,25,15,0.9063109911293455,0.906764697162479,0.00045370603313343866
263,158,5689,25,10,0.9063109911293455,0.906764697162479,0.00045370603313343866
339,175,7873,25,9,0.9063109911293455,0.906764697162479,0.00045370603313343866
278,144,5903,25,11,0.9063109911293455,0.906764697162479,0.00045370603313343866
279,159,5171,25,7,0.9063109911293455,0.906764697162479,0.00045370603313343866
280,161,7748,25,8,0.9063109911293455,0.906764697162479,0.00045370603313343866
281,181,7879,25,15,0.9063109911293455,0.906764697162479,0.00045370603313343866
296,165,7752,25,12,0.9063109911293455,0.906764697162479,0.00045370603313343866
295,166,7753,25,13,0.9063109911293455,0.906764697162479,0.00045370603313343866
294,167,7754,25,14,0.9063109911293455,0.906764697162479,0.00045370603313343866
293,168,7755,25,15,0.9063109911293455,0.906764697162479,0.00045370603313343866
292,169,7756,25,16,0.9063109911293455,0.906764697162479,0.00045370603313343866
291,162,7749,25,9,0.9063109911293455,0.906764697162479,0.00045370603313343866
290,170,7757,25,17,0.9063109911293455,0.906764697162479,0.00045370603313343866
289,172,7759,25,19,0.9063109911293455,0.906764697162479,0.00045370603313343866
288,173,7871,25,7,0.9063109911293455,0.906764697162479,0.00045370603313343866
287,174,7872,25,8,0.9063109911293455,0.906764697162479,0.00045370603313343866
286,176,7874,25,10,0.9063109911293455,0.906764697162479,0.00045370603313343866
285,177,7875,25,11,0.9063109911293455,0.906764697162479,0.00045370603313343866
284,178,7876,25,12,0.9063109911293455,0.906764697162479,0.00045370603313343866
283,179,7877,25,13,0.9063109911293455,0.906764697162479,0.00045370603313343866
282,171,7758,25,18,0.9063109911293455,0.906764697162479,0.00045370603313343866
338,180,7878,25,14,0.9063109911293455,0.906764697162479,0.00045370603313343866
392,189,5584,25,10,0.9063109911293455,0.906764697162479,0.00045370603313343866
340,182,7880,25,16,0.9063109911293455,0.906764697162479,0.00045370603313343866
390,201,5585,25,11,0.9063109911293455,0.906764697162479,0.00045370603313343866
397,184,7882,25,18,0.9063109911293455,0.906764697162479,0.00045370603313343866
396,185,7883,25,19,0.9063109911293455,0.906764697162479,0.00045370603313343866
395,186,5272,25,7,0.9063109911293455,0.906764697162479,0.00045370603313343866
394,187,5273,25,8,0.9063109911293455,0.906764697162479,0.00045370603313343866
393,188,5374,25,7,0.9063109911293455,0.906764697162479,0.00045370603313343866
261,260,6123,25,14,0.9063109911293455,0.906764697162479,0.00045370603313343866
391,190,5688,25,9,0.9063109911293455,0.906764697162479,0.00045370603313343866
389,191,5687,25,8,0.9063109911293455,0.906764697162479,0.00045370603313343866
380,220,6457,25,15,0.9063109911293455,0.906764697162479,0.00045370603313343866
388,193,7624,25,7,0.9063109911293455,0.906764697162479,0.00045370603313343866
387,219,6571,25,16,0.9063109911293455,0.906764697162479,0.00045370603313343866
386,195,7626,25,9,0.9063109911293455,0.906764697162479,0.00045370603313343866
385,196,6007,25,7,0.9063109911293455,0.906764697162479,0.00045370603313343866
384,197,7628,25,11,0.9063109911293455,0.906764697162479,0.00045370603313343866
383,198,7629,25,12,0.9063109911293455,0.906764697162479,0.00045370603313343866
382,199,7630,25,13,0.9063109911293455,0.906764697162479,0.00045370603313343866
398,200,7631,25,14,0.9063109911293455,0.906764697162479,0.00045370603313343866
399,194,7625,25,8,0.9063109911293455,0.906764697162479,0.00045370603313343866
400,202,5583,25,9,0.9063109911293455,0.906764697162479,0.00045370603313343866
401,211,7633,25,16,0.9063109911293455,0.906764697162479,0.00045370603313343866
416,209,5477,25,7,0.9063109911293455,0.906764697162479,0.00045370603313343866
415,204,5582,25,8,0.9063109911293455,0.906764697162479,0.00045370603313343866
414,205,5581,25,7,0.9063109911293455,0.906764697162479,0.00045370603313343866
413,206,5480,25,10,0.9063109911293455,0.906764697162479,0.00045370603313343866
412,207,5479,25,9,0.9063109911293455,0.906764697162479,0.00045370603313343866
411,208,5478,25,8,0.9063109911293455,0.906764697162479,0.00045370603313343866
410,210,7632,25,15,0.9063109911293455,0.906764697162479,0.00045370603313343866
409,217,7261,25,7,0.9063109911293455,0.906764697162479,0.00045370603313343866
408,212,7634,25,17,0.9063109911293455,0.906764697162479,0.00045370603313343866
407,213,7635,25,18,0.9063109911293455,0.906764697162479,0.00045370603313343866
406,214,7636,25,19,0.9063109911293455,0.906764697162479,0.00045370603313343866
405,215,5376,25,9,0.9063109911293455,0.906764697162479,0.00045370603313343866
404,216,5906,25,14,0.9063109911293455,0.906764697162479,0.00045370603313343866
403,203,5375,25,8,0.9063109911293455,0.906764697162479,0.00045370603313343866
402,218,7263,25,9,0.9063109911293455,0.906764697162479,0.00045370603313343866
381,192,5686,25,7,0.9063109911293455,0.906764697162479,0.00045370603313343866
379,227,6564,25,9,0.9063109911293455,0.906764697162479,0.00045370603313343866
341,231,6568,25,13,0.9063109911293455,0.906764697162479,0.00045370603313343866
350,240,6678,25,9,0.9063109911293455,0.906764697162479,0.00045370603313343866
357,223,6460,25,18,0.9063109911293455,0.906764697162479,0.00045370603313343866
356,224,6461,25,19,0.9063109911293455,0.906764697162479,0.00045370603313343866
355,225,6562,25,7,0.9063109911293455,0.906764697162479,0.00045370603313343866
354,226,6563,25,8,0.9063109911293455,0.906764697162479,0.00045370603313343866
