n_estimators,criterion,max_depth,test_score,train_score,fit_time
35,mae,2,0.7375461064906522,0.7618100346028386,[0.54081893 0.51891208 0.53598309 0.51913476 0.51818776]
35,mae,3,0.8085800337956126,0.8428885064086018,[0.73417091 0.71454787 0.69893408 0.68484807 0.67598224]
35,mae,4,0.8394589723605905,0.8920803916630314,[0.8595531  0.86058307 0.81628895 0.83442211 0.81261182]
35,mae,5,0.8524514048909287,0.9154466605778,[0.98815227 0.98150086 0.93247104 0.95144892 0.92248988]
36,mse,2,0.7664993488707335,0.8019764250453371,[0.06592917 0.06747508 0.06534791 0.06249022 0.06313133]
36,mse,3,0.8120078432600406,0.8627170676143722,[0.07731009 0.07789302 0.07495618 0.07578588 0.07504797]
36,mse,4,0.8397314804261742,0.8954998717605129,[0.08782005 0.0874722  0.08718705 0.08746505 0.08630395]
36,mse,5,0.8519632550947887,0.9143839741948818,[0.10129499 0.10010195 0.10005999 0.09996605 0.09928203]
36,mae,2,0.7377914974332878,0.7627607166742767,[0.55722928 0.53744364 0.55733132 0.54662275 0.52381516]
36,mae,3,0.8087454694637378,0.8427204198488087,[0.736763   0.72844696 0.71421194 0.706604   0.72337675]
36,mae,4,0.8391350193389122,0.8919525071044081,[0.91730022 0.9024291  0.8585639  0.85855484 0.85568404]
36,mae,5,0.8522022708997566,0.9154886652398321,[1.00827098 1.01352692 0.95536017 0.98522592 0.95008826]
37,mse,2,0.7663650903464531,0.8019919039362413,[0.06698871 0.06400585 0.06411815 0.0653131  0.0640502 ]
37,mse,3,0.8119646886238719,0.8627445784492235,[0.07856607 0.07774162 0.07883787 0.07780099 0.07742882]
37,mse,4,0.8401476339606659,0.8954527917526507,[0.09740591 0.08957815 0.09040904 0.08979297 0.09644794]
37,mse,5,0.8519210782697286,0.914398138444016,[0.10266519 0.10082507 0.10556579 0.10232902 0.10180497]
37,mae,2,0.7380603837532591,0.7628714996933222,[0.60005212 0.55769801 0.57532883 0.56190705 0.54812503]
37,mae,3,0.8085218308835888,0.8425378311492724,[0.76499414 0.757828   0.74567914 0.73217297 0.72762489]
37,mae,4,0.8388213111417702,0.8919923613116778,[0.91887593 0.91428089 0.87344313 0.89281106 0.86818194]
37,mae,5,0.8518294446580649,0.9155173857826608,[1.03736806 1.0394249  0.99295402 1.00777292 0.98442173]
38,mse,2,0.7671118152425649,0.8023287840829191,[0.07035708 0.06815529 0.06775904 0.06727505 0.06763506]
38,mse,3,0.8112226388840125,0.8629163794168324,[0.08291101 0.08185506 0.08288097 0.08052206 0.08223987]
38,mse,4,0.8397004591648205,0.8953937915915777,[0.09547496 0.09395313 0.09420371 0.09215593 0.09463716]
38,mse,5,0.8518109006294481,0.9142915252296542,[0.10593104 0.10430813 0.10479021 0.10416508 0.10417795]
38,mae,2,0.7385838050546021,0.7632682896730032,[0.60005212 0.57954097 0.59077096 0.57411718 0.56175804]
38,mae,3,0.8077294284780752,0.8424345302445626,[0.78815007 0.77909994 0.76586962 0.76012993 0.75257301]
38,mae,4,0.8376497350222536,0.8921125663821006,[0.95146513 0.92802215 0.89798093 0.90367413 0.88449001]
38,mae,5,0.8510663664932678,0.9155937367002362,[1.05969381 1.06439495 1.01500797 1.04390216 1.01213789]
39,mse,2,0.7675202095882032,0.8028947513128563,[0.06950712 0.06870317 0.06959724 0.0680089  0.06970692]
39,mse,3,0.8117500046572985,0.8632243436818021,[0.08358383 0.08256817 0.08249617 0.08164597 0.08189106]
