index,level_0,level_1,correlation
391,SCHEDULED_ARRIVAL,AIRLINE_DELAY,-0.07278013454142417
392,SCHEDULED_ARRIVAL,LATE_AIRCRAFT_DELAY,0.11132761901103722
393,SCHEDULED_ARRIVAL,WEATHER_DELAY,-0.008440044403283511
394,ARRIVAL_TIME,MONTH,-0.008114502542847183
395,ARRIVAL_TIME,DAY,-0.004199857345028885
396,ARRIVAL_TIME,DAY_OF_WEEK,0.005146239343791932
397,ARRIVAL_TIME,FLIGHT_NUMBER,-0.003907789078450071
398,ARRIVAL_TIME,SCHEDULED_DEPARTURE,0.6289815362376988
399,ARRIVAL_TIME,DEPARTURE_TIME,0.6476326741763961
400,ARRIVAL_TIME,DEPARTURE_DELAY,0.04855037271863931
401,ARRIVAL_TIME,TAXI_OUT,0.030188828594499575
402,ARRIVAL_TIME,WHEELS_OFF,0.6673725034242477
403,ARRIVAL_TIME,SCHEDULED_TIME,0.020210408343953167
404,ARRIVAL_TIME,ELAPSED_TIME,0.022409927845645876
405,ARRIVAL_TIME,AIR_TIME,0.019163301874949305
406,ARRIVAL_TIME,DISTANCE,0.01497437971102314
407,ARRIVAL_TIME,WHEELS_ON,0.9675330964468647
408,ARRIVAL_TIME,TAXI_IN,0.0021076287168028136
409,ARRIVAL_TIME,SCHEDULED_ARRIVAL,0.8616455652591488
410,ARRIVAL_TIME,ARRIVAL_TIME,1.0
411,ARRIVAL_TIME,ARRIVAL_DELAY,0.04932363229109067
412,ARRIVAL_TIME,DIVERTED,0.0055684591350188785
413,ARRIVAL_TIME,AIR_SYSTEM_DELAY,0.005865592744985321
414,ARRIVAL_TIME,SECURITY_DELAY,-0.005730810312336222
415,ARRIVAL_TIME,AIRLINE_DELAY,-0.061748153566385064
416,ARRIVAL_TIME,LATE_AIRCRAFT_DELAY,-0.014304287505144555
417,ARRIVAL_TIME,WEATHER_DELAY,-0.026577921500089963
418,ARRIVAL_DELAY,MONTH,-0.03635259293948088
419,ARRIVAL_DELAY,DAY,-0.002939304791514401
420,ARRIVAL_DELAY,DAY_OF_WEEK,-0.016358050713544563
421,ARRIVAL_DELAY,FLIGHT_NUMBER,0.017131736403369437
422,ARRIVAL_DELAY,SCHEDULED_DEPARTURE,0.09984973497297292
423,ARRIVAL_DELAY,DEPARTURE_TIME,0.16006789937627694
424,ARRIVAL_DELAY,DEPARTURE_DELAY,0.9445967056189637
425,ARRIVAL_DELAY,TAXI_OUT,0.22763520956641523
